data;tipo;pessoa;cargo_id;cargo;interino;fonte
2024-06-19;sabatina;Alexandre Barreto de Souza;br-conselheiro-do-cade;Conselheiro do Tribunal do Cade;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/163258
2024-06-19;sabatina;Antônio Fabrício de Matos Gonçalves;br-tribunal-superior-do-trabalho-ministro;Ministro do Tribunal Superior do Trabalho;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/163854
2023-12-13;sabatina;Caio Mário Trivellato Seabra Filho;br-anm-diretor;Diretor da ANM;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161284
2023-12-13;sabatina;Leonardo Cardoso de Magalhães;br-defensor-publico-geral-federal;Defensor Público-Geral Federal;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161289
2023-12-13;sabatina;Paulo Gustavo Gonet Branco;br-procurador-geral-da-republica;Procurador-Geral da República;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161291
2023-12-13;sabatina;Flávio Dino de Castro e Costa;br-supremo-tribunal-federal-ministro;Ministro do Supremo Tribunal Federal;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161290
2023-12-12;sabatina;;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158168
2023-12-12;sabatina;Maria Elisa Teófilo de Luna;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/160911
2023-12-12;sabatina;Maria Cristina de Castro Martins;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/160912
2023-12-12;sabatina;Paulo Picchetti;br-diretor-do-banco-central;Diretor do Banco Central do Brasil;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161128
2023-12-12;sabatina;Rodrigo Alves Teixeira;br-diretor-do-banco-central;Diretor do Banco Central do Brasil;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161127
2023-12-12;sabatina;José Levi Mello do Amaral Júnior;br-conselheiro-do-cade;Conselheiro do Tribunal do Cade;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161236
2023-12-12;sabatina;Camila Cabral Pires Alves;br-conselheiro-do-cade;Conselheiro do Tribunal do Cade;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161237
2023-12-12;sabatina;Diogo Thomson de Andrade;br-conselheiro-do-cade;Conselheiro do Tribunal do Cade;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161238
2023-12-12;sabatina;Carlos Jacques Vieira Gomes;br-conselheiro-do-cade;Conselheiro do Tribunal do Cade;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161239
2023-12-12;sabatina;Glivânia Maria de Oliveira;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161286
2023-12-12;sabatina;Daniel Walter Maeda Bernardo;br-diretor-da-cvm;Diretor da CVM;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161299
2023-12-12;sabatina;Marina Palma Copola de Carvalho;br-diretor-da-cvm;Diretor da CVM;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/161300
2023-10-25;sabatina;Igor Roberto Albuquerque Roque;br-defensor-publico-geral-federal;Defensor Público-Geral Federal;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158096
