id;nome;viagens;diarias;passagens;total;exterior
br-p-lucas-asfor-rocha-lima;Lucas Asfor Rocha Lima;10;33358,54;44423,76;77782,30;1
br-p-alex-antonio-de-azevedo-cruz;Alex Antonio de Azevedo Cruz;18;30527,58;78826,77;109354,35;2
br-p-felipe-fernandes-queiroz;Felipe Fernandes Queiroz;16;60518,93;135181,67;195700,60;3
br-p-marcelo-cardoso-fonseca;Marcelo Cardoso Fonseca;14;31742,31;88896,14;120638,45;1
br-p-frederico-carvalho-dias;Frederico Carvalho Dias;16;27635,10;51587,78;79222,88;1
br-p-alexandre-palmieri-florambel;Alexandre Palmieri Florambel;6;8049,87;14231,98;22281,85;0
br-p-wilson-pereira-de-lima-filho;Wilson Pereira de Lima Filho;19;58448,04;62014,17;120462,21;2
br-p-alber-furtado-de-vasconcelos-neto;Alber Furtado de Vasconcelos Neto;5;27676,80;15032,21;42709,01;1
br-p-caio-cesar-farias-leoncio;Caio César Farias Leôncio;2;25152,21;4021,04;29173,25;1
br-p-tiago-chagas-faierstein;Tiago Chagas Faierstein;42;96118,47;343927,62;440046,09;8
br-p-rui-chagas-mesquita;Rui Chagas Mesquita;26;74463,29;99592,13;174055,42;3
br-p-antonio-mathias-nogueira-moreira;Antonio Mathias Nogueira Moreira;3;16859,47;45472,03;62331,50;1
br-p-roberto-jose-silveira-honorato;Roberto José Silveira Honorato;18;77433,99;99973,28;177407,27;5
br-p-claudio-beschizza-ianelli;Cláudio Beschizza Ianelli;20;27234,62;47992,95;75227,57;0
br-p-alex-braga-muniz;Alex Braga Muniz;21;17901,40;111467,26;129368,66;0
br-p-paulo-xavier-alcoforado;Paulo Xavier Alcoforado;10;20106,71;35032,92;55139,63;0
br-p-patricia-barcelos;Patrícia Barcelos;10;20153,64;33177,10;53330,74;0
br-p-leandro-de-sousa-mendes;Leandro de Sousa Mendes;6;7786,29;19538,95;27325,24;0
br-p-wp-rodrigo-alves-teixeira;Rodrigo Alves Teixeira;9;19022,74;15963,18;34985,92;9
br-p-wp-paulo-picchetti;Paulo Picchetti;17;51420,06;105391,22;156811,28;17
br-p-wp-ailton-de-aquino-santos;Ailton de Aquino Santos;4;8300,00;15285,21;23585,21;4
br-p-wp-nilton-jos-schneider-david;Nilton José Schneider David;10;35811,48;65622,91;101434,39;10
br-p-wp-gilneu-francisco-astolfi-vivan;Gilneu Francisco Astolfi Vivan;6;16608,13;43916,44;60524,57;6
br-p-wp-izabela-moreira-correa;Izabela Moreira Correa;10;8377,29;31130,66;39507,95;10
br-p-igor-muniz;Igor Muniz;3;2768,28;16407,05;19175,33;0
br-p-diogo-thomson-de-andrade;Diogo Thomson de Andrade;10;67937,34;162719,70;230657,04;6
br-p-carlos-jacques-vieira-gomes;Carlos Jacques Vieira Gomes;6;42712,84;41244,42;83957,26;4
br-p-camila-cabral-pires-alves;Camila Cabral Pires Alves;6;44472,71;81753,37;126226,08;6
br-p-jose-levi-mello-do-amaral-junior;José Levi Mello do Amaral Júnior;2;11351,18;13632,51;24983,69;2
br-p-waldemar-goncalves-ortunho-junior;Waldemar Gonçalves Ortunho Junior;10;109810,56;82625,37;192435,93;7
br-p-lorena-giuberti-coutinho;Lorena Giuberti Coutinho;4;25752,25;29106,60;54858,85;3
br-p-dou-alessandro-serafin-octaviani-luis;Alessandro Serafin Octaviani Luis;9;3297,14;25365,40;28662,54;0
br-p-dou-ana-cristina-viana-silveira;Ana Cristina Viana Silveira;18;21079,35;63877,94;84957,29;0
br-p-dou-jair-schmitt;Jair Schmitt;5;3651,51;25111,64;28763,15;0
br-p-dou-mauro-oliveira-pires;Mauro Oliveira Pires;13;14071,71;75349,66;89421,37;0
br-p-dou-cesar-fernando-schiavon-aldrighi;César Fernando Schiavon Aldrighi;14;25384,60;76050,17;101434,77;1
br-p-dou-manuel-fernando-palacios-da-cunha-e-melo;Manuel Fernando Palacios da Cunha e Melo;13;9392,42;69994,76;79387,18;0
