id;nome;viagens;diarias;passagens;total;exterior
br-p-francisca-lucileide-de-carvalho;Francisca Lucileide de Carvalho;1;0,00;0,00;0,00;1
br-p-roberto-nami-garibe-filho;Roberto Nami Garibe Filho;10;12120,97;42102,05;54223,02;0
br-p-marcus-benicio-foltz-cavalcanti;Marcus Benicio Foltz Cavalcanti;3;5316,56;6314,65;11631,21;0
br-p-washington-rocha-triani;Washington Rocha Triani;8;26377,13;73168,57;99545,70;2
br-p-ricardo-santos-taranto;Ricardo Santos Taranto;4;5349,00;12828,22;18177,22;0
br-p-andre-luiz-bandeira-molina;André Luiz Bandeira Molina;7;60308,63;37052,67;97361,30;5
br-p-samara-mariana-de-castro;Samara Mariana de Castro;7;13912,69;44098,88;58011,57;0
br-p-laercio-portela-delgado;Laércio Portela Delgado;44;17210,22;4021,57;21231,79;6
br-p-joao-caldeira-brant-monteiro-de-castro;João Caldeira Brant Monteiro de Castro;7;49495,61;92002,63;141498,24;4
br-p-mariana-gurgel-zoccoli;Mariana Gurgel Zoccoli;4;566,64;23315,84;23882,48;2
br-p-samantha-marchiori-rodrigues-ribeiro;Samantha Marchiori Rodrigues Ribeiro;1;341,59;5522,44;5864,03;0
br-p-marcelo-almeida-cunha-costa;Marcelo Almeida Cunha Costa;1;1988,18;5201,86;7190,04;0
br-p-jose-ilario-goncalves-marques;José Ilário Gonçalves Marques;20;22302,39;84260,49;106562,88;0
br-p-gerson-luis-bittencourt;Gerson Luis Bittencourt;9;10463,63;23276,15;33739,78;0
br-p-josue-augusto-do-amaral-rocha;Josué Augusto do Amaral Rocha;5;1627,46;22889,74;24517,20;0
br-p-kelli-cristine-de-oliveira-mafort;Kelli Cristine de Oliveira Mafort;10;12148,33;49710,36;61858,69;0
br-p-vitoria-genuino-de-morais-silva;Vitória Genuino de Morais Silva;30;52650,78;154455,29;207106,07;1
br-p-izadora-gama-brito;Izadora Gama Brito;30;42155,94;150639,30;192795,24;0
br-p-wagner-caetano-alves-de-oliveira;Wagner Caetano Alves de Oliveira;38;17074,00;63495,38;80569,38;1
